Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoPublicoNaLegAtual;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeCompletoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.SexoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.FormaTratamento;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlFotoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParticular;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.EmailParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.SiglaPartidoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UfParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.CodigoMandato;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.UfParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.NumeroLegislatura;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.NumeroLegislatura;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.CodigoParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.NomeParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.CodigoParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.NomeParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.CodigoExercicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.SiglaCausaAfastamento;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DescricaoCausaAfastamento;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataLeitura
6358;920;Ana Paula Lobato;Ana Paula Dias Lobato Nova Alves;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6358.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6358;;sen.anapaulalobato@senado.leg.br;PSB;MA;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;602;MA;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;602;MA;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;602;MA;;;;;;;1º Suplente;Titular;4605;Flávio Dino;;;;;;;;;
;;;;;;;;;;;;602;MA;;;;;;;1º Suplente;;;;2º Suplente;6359;Lourdinha;;;;;;
;;;;;;;;;;;;602;MA;;;;;;;1º Suplente;;;;;;;3038;2023-02-02;;;;
5950;;Ana Paula Tongo;Ana Paula Tongo da Silva;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;548;ES;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;548;ES;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;548;ES;;;;;;;1º Suplente;Titular;5953;Fabiano Contarato;;;;;;;;;
;;;;;;;;;;;;548;ES;;;;;;;1º Suplente;;;;2º Suplente;5952;Bento;;;;;;
6366;;Andre Amaral;Andre Augusto Castro do Amaral;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;605;PB;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;605;PB;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;605;PB;;;;;;;1º Suplente;Titular;4642;Efraim Filho;;;;;;;;;
;;;;;;;;;;;;605;PB;;;;;;;1º Suplente;;;;2º Suplente;6367;Erik Marinho;;;;;;
5969;;Andre Filipe;Andre Felipe de Oliveira da Silva;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;552;DF;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;552;DF;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;552;DF;;;;;;;2º Suplente;Titular;4770;Izalci Lucas;;;;;;;;;
;;;;;;;;;;;;552;DF;;;;;;;2º Suplente;;;;1º Suplente;5968;Luis Felipe Belmonte;;;;;;
6373;;Andrea Fontes;Andrea Gomes Fontes Rodrigues;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;620;RJ;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;620;RJ;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;620;RJ;;;;;;;2º Suplente;Titular;5322;Romário;;;;;;;;;
;;;;;;;;;;;;620;RJ;;;;;;;2º Suplente;;;;1º Suplente;6372;Bruno Bonetti;;;;;;
5967;832;Angelo Coronel;Angelo Mario Coronel de Azevedo Martins;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967;;sen.angelocoronel@senado.leg.br;PSD;BA;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;554;BA;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;554;BA;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;554;BA;;;;;;;Titular;;;;1º Suplente;5837;Davidson Magalhães;;;;;;
;;;;;;;;;;;;554;BA;;;;;;;Titular;;;;2º Suplente;5056;Silvia Nascimento Cardoso dos Santos Cerqueira;;;;;;
;;;;;;;;;;;;554;BA;;;;;;;Titular;;;;;;;2889;2019-02-01;;;;
6001;;Arlindo Silva;Arlindo Penha da Silva;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;566;PA;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;566;PA;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;566;PA;;;;;;;1º Suplente;Titular;3806;Zequinha Marinho;;;;;;;;;
;;;;;;;;;;;;566;PA;;;;;;;1º Suplente;;;;2º Suplente;6002;Marinho Cunha;;;;;;
751;;Arolde de Oliveira;Arolde de Oliveira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador751.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/751;;sen.aroldedeoliveira@senado.leg.br;PSD;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;545;RJ;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;545;RJ;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;545;RJ;;;;;;;Titular;;;;1º Suplente;5936;Carlos Portinho;;;;;;
;;;;;;;;;;;;545;RJ;;;;;;;Titular;;;;2º Suplente;5934;Renata Guerra;;;;;;
;;;;;;;;;;;;545;RJ;;;;;;;Titular;;;;;;;2891;2019-02-01;2020-10-21;FAL;Falecimento;
6009;902;Astronauta Marcos Pontes;Marcos Cesar Pontes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009;;sen.astronautamarcospontes@senado.leg.br;PL;SP;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;617;SP;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;617;SP;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;617;SP;;;;;;;Titular;;;;1º Suplente;6385;Professor Alberto;;;;;;
;;;;;;;;;;;;617;SP;;;;;;;Titular;;;;2º Suplente;6386;Sirlange Manga;;;;;;
;;;;;;;;;;;;617;SP;;;;;;;Titular;;;;;;;3017;2023-02-01;;;;
6350;930;Augusta Brito;Augusta Brito de Paula;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6350.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6350;;sen.augustabrito@senado.leg.br;PT;CE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;598;CE;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;598;CE;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;598;CE;;;;;;;1º Suplente;Titular;6336;Camilo Santana;;;;;;;;;
;;;;;;;;;;;;598;CE;;;;;;;1º Suplente;;;;2º Suplente;6351;Janaina Farias;;;;;;
;;;;;;;;;;;;598;CE;;;;;;;1º Suplente;;;;;;;3039;2023-02-02;;;;
5554;;Bebeto;Adalberto Souza Galvão;Masculino;Senador;;;;;PSB;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;555;BA;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;555;BA;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;555;BA;;;;;;;1º Suplente;Titular;581;Jaques Wagner;;;;;;;;;
;;;;;;;;;;;;555;BA;;;;;;;1º Suplente;;;;2º Suplente;6014;Luciana Leão Muniz;;;;;;
4979;;Bene Camacho;Bene André Camacho Araújo;Masculino;Senador;;;;;PTB;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;542;MA;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;542;MA;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;542;MA;;;;;;;2º Suplente;Titular;5718;Eliziane Gama;;;;;;;;;
;;;;;;;;;;;;542;MA;;;;;;;2º Suplente;;;;1º Suplente;674;Pedro Fernandes;;;;;;
5896;;Benjamin Beze Junior;Benjamin Beze Junior;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;533;GO;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;533;GO;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;533;GO;;;;;;;1º Suplente;Titular;5895;Jorge Kajuru;;;;;;;;;
;;;;;;;;;;;;533;GO;;;;;;;1º Suplente;;;;2º Suplente;5897;Milton Mercêz;;;;;;
5952;;Bento;Bento Adeodato Porto;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;548;ES;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;548;ES;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;548;ES;;;;;;;2º Suplente;Titular;5953;Fabiano Contarato;;;;;;;;;
;;;;;;;;;;;;548;ES;;;;;;;2º Suplente;;;;1º Suplente;5950;Ana Paula Tongo;;;;;;
4639;877;Beto Faro;José Roberto Oliveira Faro;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639;;sen.betofaro@senado.leg.br;PT;PA;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;604;PA;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;604;PA;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;604;PA;;;;;;;Titular;;;;1º Suplente;6364;Josenir;;;;;;
;;;;;;;;;;;;604;PA;;;;;;;Titular;;;;2º Suplente;6365;Leny Campêlo;;;;;;
;;;;;;;;;;;;604;PA;;;;;;;Titular;;;;;;;3020;2023-02-01;;;;
6011;;Beto Martins;Jose Roberto Martins;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;571;SC;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;571;SC;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;571;SC;;;;;;;2º Suplente;Titular;5350;Jorginho Mello;;;;;;;;;
;;;;;;;;;;;;571;SC;;;;;;;2º Suplente;;;;1º Suplente;6010;Ivete da Silveira;;;;;;
5932;;Beto Possamai;Gilberto Eglair Possamai;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;544;MT;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;544;MT;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;544;MT;;;;;;;1º Suplente;Titular;5929;Juíza Selma;;;;;;;;;
;;;;;;;;;;;;544;MT;;;;;;;1º Suplente;;;;2º Suplente;5933;Clerie Fabiana;;;;;;
6347;;Breno;Breno Barbosa Chaves Pinto;Masculino;Senador;;;;;UNIÃO;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;618;AP;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;618;AP;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;618;AP;;;;;;;2º Suplente;Titular;3830;Davi Alcolumbre;;;;;;;;;
;;;;;;;;;;;;618;AP;;;;;;;2º Suplente;;;;1º Suplente;5569;Josiel;;;;;;
6372;;Bruno Bonetti;Bruno Bierrenbach Bonetti;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;620;RJ;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;620;RJ;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;620;RJ;;;;;;;1º Suplente;Titular;5322;Romário;;;;;;;;;
;;;;;;;;;;;;620;RJ;;;;;;;1º Suplente;;;;2º Suplente;6373;Andrea Fontes;;;;;;
6336;805;Camilo Santana;Camilo Sobreira de Santana;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6336.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6336;;sen.camilosantana@senado.leg.br;PT;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;598;CE;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;598;CE;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;598;CE;;;;;;;Titular;;;;1º Suplente;6350;Augusta Brito;;;;;;
;;;;;;;;;;;;598;CE;;;;;;;Titular;;;;2º Suplente;6351;Janaina Farias;;;;;;
;;;;;;;;;;;;598;CE;;;;;;;Titular;;;;;;;3035;2023-02-01;2023-02-02;AFO;Afastamento do exercício;
6013;;Carlos Alberto;Carlos Alberto de Castro Almeida;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;573;AM;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;573;AM;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;573;AM;;;;;;;1º Suplente;Titular;5502;Plínio Valério;;;;;;;;;
;;;;;;;;;;;;573;AM;;;;;;;1º Suplente;;;;2º Suplente;5931;Jacira Souza;;;;;;
6295;945;Carlos Fávaro;Carlos Henrique Baqueta Fávaro;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6295.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6295;;sen.carlosfavaro@senado.leg.br;PSD;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;592;MT;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
