/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/CodigoParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/NomeParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/NomeCompletoParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/SexoParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/FormaTratamento;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/SiglaPartidoParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/CodigoMandato;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/UfParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/DescricaoParticipacao;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/PrimeiraLegislaturaDoMandato/NumeroLegislatura;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/PrimeiraLegislaturaDoMandato/DataInicio;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/PrimeiraLegislaturaDoMandato/DataFim;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/SegundaLegislaturaDoMandato/NumeroLegislatura;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/SegundaLegislaturaDoMandato/DataInicio;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/SegundaLegislaturaDoMandato/DataFim;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Titular/DescricaoParticipacao;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Titular/CodigoParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Titular/NomeParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Suplentes/Suplente/DescricaoParticipacao;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Suplentes/Suplente/CodigoParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Suplentes/Suplente/NomeParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/CodigoPublicoNaLegAtual;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlFotoParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlPaginaParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlPaginaParticular;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/EmailParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/CodigoExercicio;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/DataInicio;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/DataFim;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/SiglaCausaAfastamento;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/DescricaoCausaAfastamento;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/UfParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/DataLeitura
"4610";"Alexandre Silveira";"Alexandre Silveira de Oliveira";"Masculino";"Senador ";"PSD";"495";"MG";"1º Suplente";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"Titular";"5529";"Antonio Anastasia";"2º Suplente";"415";"Lael Varella";"899";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4610.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4610";;"sen.alexandresilveira@senado.leg.br";"2973";"2022-02-02";"2023-01-01";"AFO";"Afastamento do exercício";;
"846";"Aloysio Nunes Ferreira";"Aloysio Nunes Ferreira Filho";"Masculino";"Senador ";"PSDB";"485";"SP";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;"1º Suplente";"5140";"Airton Sandoval";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador846.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/846";;"aloysionunes.ferreira@senador.leg.br";;;;;;;
"846";"Aloysio Nunes Ferreira";"Aloysio Nunes Ferreira Filho";"Masculino";"Senador ";"PSDB";"485";"SP";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;"2º Suplente";"5142";"Marta Maria Freire da Costa";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador846.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/846";;"aloysionunes.ferreira@senador.leg.br";;;;;;;
"846";"Aloysio Nunes Ferreira";"Aloysio Nunes Ferreira Filho";"Masculino";"Senador ";"PSDB";"485";"SP";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;;;;;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador846.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/846";;"aloysionunes.ferreira@senador.leg.br";"2883";"2019-01-01";"2019-01-31";"TER";"Término do mandato";;
"846";"Aloysio Nunes Ferreira";"Aloysio Nunes Ferreira Filho";"Masculino";"Senador ";"PSDB";"485";"SP";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;;;;;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador846.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/846";;"aloysionunes.ferreira@senador.leg.br";"2580";"2011-02-01";"2017-03-06";"AFO";"Afastamento do exercício";;
"846";"Aloysio Nunes Ferreira";"Aloysio Nunes Ferreira Filho";"Masculino";"Senador ";"PSDB";"485";"SP";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;;;;;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador846.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/846";;"aloysionunes.ferreira@senador.leg.br";;;;;;;
"945";"Alvaro Dias";"Alvaro Fernandes Dias";"Masculino";"Senador ";"PODEMOS";"514";"PR";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;"1º Suplente";"5609";"Joel Malucelli";"855";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/945";"https://www.alvarodias.com.br/";"sen.alvarodias@senado.leg.br";;;;;;;
"945";"Alvaro Dias";"Alvaro Fernandes Dias";"Masculino";"Senador ";"PODEMOS";"514";"PR";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;"2º Suplente";"5611";"Severino Araujo";"855";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/945";"https://www.alvarodias.com.br/";"sen.alvarodias@senado.leg.br";;;;;;;
"945";"Alvaro Dias";"Alvaro Fernandes Dias";"Masculino";"Senador ";"PODEMOS";"514";"PR";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;;;;"855";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/945";"https://www.alvarodias.com.br/";"sen.alvarodias@senado.leg.br";"2755";"2015-02-01";"2023-01-31";"TER";"Término do mandato";;
"5607";"Alzenir Porto";"Maria Alzenir Porto da Costa";"Feminino";"Senadora ";"PTB";"496";"PI";"2º Suplente";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"Titular";"5531";"Elmano Férrer";"1º Suplente";"5849";"José Amauri";;;;;;;;;;;;
"5042";"Alzira Ferreira Barros";"Alzira Ferreira Barros";"Masculino";"Senador ";"PCdoB";"437";"AM";"2º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"558";"Vanessa Grazziotin";"1º Suplente";"553";"Francisco Garcia";;;;;;;;;;;;
"4988";"Ana Amélia";"Ana Amélia de Lemos";"Feminino";"Senadora ";"PP";"462";"RS";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;"1º Suplente";"5090";"José Alberto Wenzel";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4988.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4988";;"ana.amelia@senadora.leg.br";;;;;;;
"4988";"Ana Amélia";"Ana Amélia de Lemos";"Feminino";"Senadora ";"PP";"462";"RS";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;"2º Suplente";"5094";"Márcio Bergonsi Turra";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4988.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4988";;"ana.amelia@senadora.leg.br";;;;;;;
"4988";"Ana Amélia";"Ana Amélia de Lemos";"Feminino";"Senadora ";"PP";"462";"RS";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;;;;;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4988.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4988";;"ana.amelia@senadora.leg.br";"2581";"2011-02-01";"2019-01-31";"TER";"Término do mandato";;
"5046";"Andrelina Barbosa da Cunha";"Andrelina Barbosa da Cunha";"Masculino";"Senador ";"PSOL";"475";"AP";"2º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"5012";"Randolfe Rodrigues";"1º Suplente";"5044";"Clécio Luis Vilhena Vieira";;;;;;;;;;;;
"5529";"Antonio Anastasia";"Antonio Augusto Junho Anastasia";"Masculino";"Senador ";"PSD";"495";"MG";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;"1º Suplente";"4610";"Alexandre Silveira";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5529.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5529";;"sen.antonioanastasia@senado.leg.br";;;;;;;
"5529";"Antonio Anastasia";"Antonio Augusto Junho Anastasia";"Masculino";"Senador ";"PSD";"495";"MG";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;"2º Suplente";"415";"Lael Varella";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5529.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5529";;"sen.antonioanastasia@senado.leg.br";;;;;;;
"5529";"Antonio Anastasia";"Antonio Augusto Junho Anastasia";"Masculino";"Senador ";"PSD";"495";"MG";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;;;;;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5529.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5529";;"sen.antonioanastasia@senado.leg.br";"2759";"2015-02-01";"2022-02-02";"REN";"Renúncia";;
"5150";"Antonio Carlos Rodrigues";"Antonio Carlos Rodrigues";"Masculino";"Senador ";"PL";"471";"SP";"1º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"5000";"Marta Suplicy";"2º Suplente";"5152";"Paulo Frateschi";"335";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5150.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5150";"https://www.camara.leg.br/deputados/220638";"dep.antoniocarlosrodrigues@camara.leg.br";"2671";"2012-10-08";"2014-11-12";"RET";"Retorno do titular";"SP";"2012-10-08"
"3";"Antonio Carlos Valadares";"Antonio Carlos Valadares";"Masculino";"Senador ";"PSB";"474";"SE";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;"1º Suplente";"43";"José Eduardo Dutra";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/3";;"antoniocarlosvaladares@senador.leg.br";;;;;;;
"3";"Antonio Carlos Valadares";"Antonio Carlos Valadares";"Masculino";"Senador ";"PSB";"474";"SE";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;"2º Suplente";"4969";"Elber Batalha";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/3";;"antoniocarlosvaladares@senador.leg.br";;;;;;;
"3";"Antonio Carlos Valadares";"Antonio Carlos Valadares";"Masculino";"Senador ";"PSB";"474";"SE";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;;;;;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/3";;"antoniocarlosvaladares@senador.leg.br";"2847";"2018-03-23";"2019-01-31";"TER";"Término do mandato";;
"3";"Antonio Carlos Valadares";"Antonio Carlos Valadares";"Masculino";"Senador ";"PSB";"474";"SE";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;;;;;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/3";;"antoniocarlosvaladares@senador.leg.br";"2583";"2011-02-01";"2017-11-21";"LSP";"Licença Saúde-Particular";;
"3";"Antonio Carlos Valadares";"Antonio Carlos Valadares";"Masculino";"Senador ";"PSB";"474";"SE";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;;;;;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/3";;"antoniocarlosvaladares@senador.leg.br";;;;;;;
"5134";"Antônio Marcos Gavazzoni";"Antônio Marcos Gavazzoni";"Masculino";"Senador ";"DEM";"465";"SC";"2º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"5002";"Luiz Henrique";"1º Suplente";"5132";"Dalirio Beber";;;;;;;;;;;;
"5032";"Antônio Milton Pessoa Falcão Filho";"Antônio Milton Pessoa Falcão Filho";"Masculino";"Senador ";"PP";"457";"AL";"2º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"3823";"Benedito de Lira";"1º Suplente";"5030";"Givago Tenório";;;;;;;;;;;;
"5168";"Aristavora de Souza Santos";"Aristavora de Souza Santos";"Masculino";"Senador ";"PTB";"440";"PB";"2º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"4645";"Vital do Rêgo";"1º Suplente";"2207";"Raimundo Lira";;;;;;;;;;;;
"5028";"Armando José de Oliveira";"Armando José de Oliveira";"Masculino";"Senador ";"PSC";"442";"AC";"2º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"4560";"Sérgio Petecão";"1º Suplente";"5026";"Fernando Carvalho Lage";;;;;;;;;;;;
"715";"Armando Monteiro";"Armando de Queiroz Monteiro Neto";"Masculino";"Senador ";"PTB";"443";"PE";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;"1º Suplente";"5178";"Douglas Cintra";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador715.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/715";;"armando.monteiro@senador.leg.br";;;;;;;
"715";"Armando Monteiro";"Armando de Queiroz Monteiro Neto";"Masculino";"Senador ";"PTB";"443";"PE";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;"2º Suplente";"5180";"José Rodrigues da Silva";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador715.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/715";;"armando.monteiro@senador.leg.br";;;;;;;
"715";"Armando Monteiro";"Armando de Queiroz Monteiro Neto";"Masculino";"Senador ";"PTB";"443";"PE";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;;;;;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador715.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/715";;"armando.monteiro@senador.leg.br";"2777";"2016-05-09";"2019-01-31";"TER";"Término do mandato";;
"715";"Armando Monteiro";"Armando de Queiroz Monteiro Neto";"Masculino";"Senador ";"PTB";"443";"PE";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;;;;;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador715.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/715";;"armando.monteiro@senador.leg.br";"2713";"2014-11-15";"2015-01-01";"AFO";"Afastamento do exercício";;
"715";"Armando Monteiro";"Armando de Queiroz Monteiro Neto";"Masculino";"Senador ";"PTB";"443";"PE";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;;;;;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador715.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/715";;"armando.monteiro@senador.leg.br";"2584";"2011-02-01";"2014-07-16";"LSP";"Licença Saúde-Particular";;
"715";"Armando Monteiro";"Armando de Queiroz Monteiro Neto";"Masculino";"Senador ";"PTB";"443";"PE";"Titular";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";;;;;;;;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador715.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/715";;"armando.monteiro@senador.leg.br";;;;;;;
"5164";"Ataídes Oliveira";"Ataídes de Oliveira";"Masculino";"Senador ";"PSDB";"468";"TO";"1º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"916";"João Ribeiro";"2º Suplente";"918";"Pastor Amarildo";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5164.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5164";;"ataides.oliveira@senador.leg.br";"2691";"2013-12-23";"2019-01-31";"TER";"Término do mandato";;"2013-12-23"
"5164";"Ataídes Oliveira";"Ataídes de Oliveira";"Masculino";"Senador ";"PSDB";"468";"TO";"1º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"916";"João Ribeiro";"2º Suplente";"918";"Pastor Amarildo";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5164.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5164";;"ataides.oliveira@senador.leg.br";"2686";"2013-02-08";"2013-08-07";"RET";"Retorno do titular";;"2013-02-08"
"5164";"Ataídes Oliveira";"Ataídes de Oliveira";"Masculino";"Senador ";"PSDB";"468";"TO";"1º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"916";"João Ribeiro";"2º Suplente";"918";"Pastor Amarildo";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5164.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5164";;"ataides.oliveira@senador.leg.br";"2637";"2011-05-03";"2011-08-31";"RET";"Retorno do titular";;
"5164";"Ataídes Oliveira";"Ataídes de Oliveira";"Masculino";"Senador ";"PSDB";"468";"TO";"1º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"916";"João Ribeiro";"2º Suplente";"918";"Pastor Amarildo";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5164.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5164";;"ataides.oliveira@senador.leg.br";;;;;;;
"5138";"Athos de Almeida Lopes";"Athos de Almeida Lopes";"Masculino";"Senador ";"MDB";"466";"SC";"2º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"3741";"Paulo Bauer";"1º Suplente";"5136";"Cesar Antonio de Souza";;;;;;;;;;;;
"5633";"Atilio Francisco";"Atilio Francisco da Silva";"Masculino";"Senador ";"REPUBLICANOS";"516";"SP";"2º Suplente";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"Titular";"90";"José Serra";"1º Suplente";"878";"José Aníbal";;;;;;;;;;;;
"5631";"Ayres Marchetti";"Genésio Ayres Marchetti";"Masculino";"Senador ";"PSD";"499";"SC";"2º Suplente";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"Titular";"5537";"Dário Berger";"1º Suplente";"336";"Paulo Gouvêa";;;;;;;;;;;;
